iteration,total_molecules,top_molecules_found,best_score,time_per_iteration,experiment_id,n_initial_samples,n_iterations,budget_per_iteration,initial_selection_method,acquisition_function,total_runtime
8,1160,6,-20.349735,2.742583990097046,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
9,1180,8,-20.349735,2.8430166244506836,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
10,1200,10,-20.349735,2.858937978744507,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
11,1220,11,-20.349735,2.982536554336548,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
12,1240,12,-20.349735,3.2215464115142822,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
13,1260,14,-20.425659,3.3596079349517822,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
14,1280,15,-20.425659,3.463247537612915,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
15,1300,15,-20.425659,3.406602382659912,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
16,1320,16,-20.425659,2.9584672451019287,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
17,1340,16,-20.425659,2.789043426513672,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
18,1360,18,-20.425659,2.7952957153320312,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
19,1380,21,-20.572157,2.9391579627990723,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
20,1400,22,-20.572157,2.7345170974731445,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
1,1100,12,-20.596266,2.416034698486328,init1000_ran_acqgre_bud100_iter20_0323_1758,1000,20,100,random,greedy,249.84523963928223
2,1200,16,-20.596266,2.4478096961975098,init1000_ran_acqgre_bud100_iter20_0323_1758,1000,20,100,random,greedy,249.84523963928223
3,1300,23,-20.596266,2.2803404331207275,init1000_ran_acqgre_bud100_iter20_0323_1758,1000,20,100,random,greedy,249.84523963928223
4,1400,28,-20.596266,2.751113176345825,init1000_ran_acqgre_bud100_iter20_0323_1758,1000,20,100,random,greedy,249.84523963928223
5,1500,31,-20.596266,2.4796741008758545,init1000_ran_acqgre_bud100_iter20_0323_1758,1000,20,100,random,greedy,249.84523963928223
6,1600,37,-20.596266,2.303795099258423,init1000_ran_acqgre_bud100_iter20_0323_1758,1000,20,100,random,greedy,249.84523963928223
7,1700,41,-20.596266,2.396859645843506,init1000_ran_acqgre_bud100_iter20_0323_1758,1000,20,100,random,greedy,249.84523963928223
8,1800,45,-20.596266,2.313753128051758,init1000_ran_acqgre_bud100_iter20_0323_1758,1000,20,100,random,greedy,249.84523963928223
9,1900,48,-20.596266,2.5746657848358154,init1000_ran_acqgre_bud100_iter20_0323_1758,1000,20,100,random,greedy,249.84523963928223
10,2000,52,-20.596266,2.272797107696533,init1000_ran_acqgre_bud100_iter20_0323_1758,1000,20,100,random,greedy,249.84523963928223
11,2100,58,-20.596266,2.5241498947143555,init1000_ran_acqgre_bud100_iter20_0323_1758,1000,20,100,random,greedy,249.84523963928223
12,2200,65,-20.596266,2.2201435565948486,init1000_ran_acqgre_bud100_iter20_0323_1758,1000,20,100,random,greedy,249.84523963928223
13,2300,75,-20.596266,2.517035484313965,init1000_ran_acqgre_bud100_iter20_0323_1758,1000,20,100,random,greedy,249.84523963928223
14,2400,79,-20.596266,2.4085097312927246,init1000_ran_acqgre_bud100_iter20_0323_1758,1000,20,100,random,greedy,249.84523963928223
15,2500,87,-20.596266,2.412252426147461,init1000_ran_acqgre_bud100_iter20_0323_1758,1000,20,100,random,greedy,249.84523963928223
16,2600,88,-20.596266,2.1811881065368652,init1000_ran_acqgre_bud100_iter20_0323_1758,1000,20,100,random,greedy,249.84523963928223
17,2700,93,-20.596266,2.2830512523651123,init1000_ran_acqgre_bud100_iter20_0323_1758,1000,20,100,random,greedy,249.84523963928223
18,2800,96,-20.596266,2.2283308506011963,init1000_ran_acqgre_bud100_iter20_0323_1758,1000,20,100,random,greedy,249.84523963928223
19,2900,99,-20.660721,2.262014865875244,init1000_ran_acqgre_bud100_iter20_0323_1758,1000,20,100,random,greedy,249.84523963928223
20,3000,100,-20.660721,2.159532070159912,init1000_ran_acqgre_bud100_iter20_0323_1758,1000,20,100,random,greedy,249.84523963928223
